participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
22,,0,5,2,1,,1,,,,,0,0,-1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,0,0,12,4,8,,-1,-1,1,-1,,,-1,1,,,1,1,,,,,,-1,,-1,,,,,,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
27,1,0,18,9,6,,1,1,1,,1,1,,0,-1,-1,0,1,,,,,,1,,0,,,,-1,,-1,,-1,-1,,,1,,,,1,,,,,,,,,,,,,,,,,
29,1,0,12,7,3,,1,1,1,,,-1,1,1,0,-1,1,,,,,,,1,,0,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0,0,8,6,2,,-1,1,,,-1,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,0,3,1,1,,0,,,,,,,,,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,,0,3,1,0,,1,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,0,0,7,2,3,,1,0,-1,,,0,-1,,1,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,0,1,20,6,13,,1,-1,,-1,-1,-1,-1,,0,,1,1,,,,,,-1,,-1,,,,1,-1,-1,,-1,,,,-1,,-1,,,,,,,,,-1,1,1,,,,,,,,
59,0,0,10,4,6,,1,-1,1,,-1,,,,1,,,1,,,,,,-1,,-1,,,,,,-1,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
62,,0,1,0,1,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,1,4,3,1,,1,,,,,1,,,,,-1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,0,5,3,2,,1,,,,-1,,-1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,1,2,2,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
223,,0,6,4,2,,1,1,,,-1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,1,,,,,,,
224,0,0,21,9,9,,0,,-1,,-1,1,-1,1,,1,,1,,,,,,,,-1,,,,1,-1,,,-1,,,,-1,,1,,-1,,,1,,,,0,0,1,-1,,1,,,,,
5722,,0,1,1,0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5984,1,0,18,11,5,,1,,1,1,1,-1,0,,,-1,,-1,,,,,,1,,1,,,,-1,1,-1,,1,0,,,,,,,1,,,,,,,1,,,1,,,,,,,
5986,0,0,8,0,8,,-1,,,,-1,,,-1,,,,-1,,,,,,,,-1,,,,,-1,,,,,,,,,-1,,-1,,,,,,,,,,,,,,,,,
5996,,0,4,1,2,,-1,,,,,,0,,,,,,,,,,,,,,,,,,1,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,
5997,,0,3,1,1,,1,,,0,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6002,,0,6,5,0,,1,,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
6010,,0,5,4,1,,1,,-1,,1,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6013,,0,3,3,0,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
6031,0,0,10,10,0,,1,,1,,1,,,1,,,1,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,1,,,1,,,,,
6035,1,0,24,9,14,,0,1,1,1,1,-1,-1,-1,-1,-1,-1,-1,,,,,,,,1,,,,-1,1,-1,,1,-1,,,,,,,1,,,-1,,,,,1,-1,,,-1,,,-1,,
6037,,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6051,1,0,9,6,2,,1,,1,,,,,,-1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,0,,,1,,,,,,,1,,,,,-1,,
6067,,0,6,3,2,,0,,,,,,,,1,,,,,,,,,,,-1,,,,1,,,,,,,,-1,,,,,,,,,,,,,1,,,,,,,,
6078,0,0,7,0,2,,0,,0,,,-1,,,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,,,,,,,,-1,,
6079,0,0,14,5,4,,0,,0,,,1,0,,,1,,,,,,,,-1,,-1,,,,1,,-1,,,,,,-1,,0,,,,,1,,,,,,,0,,,,,1,,
6082,0,0,10,2,6,,0,1,-1,,,,,,-1,1,-1,,,,,,,,,,,,,,-1,-1,,,0,,,,,-1,,,,,,,,,,,,,,,,,,,
6104,0,0,8,5,2,,0,,,1,,,,1,1,,,,,,,,,,,,,,,1,-1,,,-1,,,,,,,,,,,,,,,,,1,,,,,,,,
6131,,0,2,2,0,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6133,0,0,9,4,4,,1,,-1,1,-1,,,,,,,1,,,,,,,,,,,,,,-1,,,,,,,,0,,,,,-1,,,,,,,1,,,,,,,
6134,,0,6,3,2,,0,-1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,
6135,,0,5,3,1,,-1,1,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
6136,,0,1,0,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6137,1,0,17,8,8,,0,1,,,-1,1,-1,,1,,1,-1,,,,,,1,,1,,,,-1,,-1,,,,,,1,,1,,,,,-1,,,,,,-1,,,-1,,,,,
6170,,0,5,3,2,,1,,1,,,,,,,-1,,1,,,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0,0,12,8,3,,,1,,1,,1,0,,1,,,1,,,,,,,,-1,,,,1,,1,,,-1,,,-1,,,,1,,,,,,,,,,,,,,,,,
33,1,1,7,7,0,,,1,1,1,,1,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,0,0,10,6,4,,,1,,1,-1,-1,,,,1,,1,,,,,,,,,,,,,,-1,,1,,,,1,,-1,,,,,,,,,,,,,,,,,,,
54,,0,4,2,1,,,1,,,,-1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0,0,9,9,0,,,1,,,1,1,,1,1,,1,1,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
5978,,0,3,2,1,,,1,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
5979,,0,3,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,
5985,,0,6,0,0,,,0,,,,,,,,,,,,,,,,,,,,,,,0,,,,0,,,,,,,0,,,,,,,,0,,0,,,,,,,
