participant,group-id,n-comments,n-votes,n-agree,n-disagree,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
95,1,0,30,17,9,-1,1,1,-1,1,-1,-1,0,-1,1,-1,1,1,1,1,1,1,1,0,1,1,1,0,-1,-1,1,0,-1,1,1,,,,,,,,,,,,,,,,,,,,
96,0,0,30,10,9,0,0,-1,0,1,1,1,-1,1,0,1,-1,-1,0,1,-1,0,1,1,1,0,0,-1,0,0,-1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,
97,0,0,46,28,16,-1,1,-1,-1,-1,-1,-1,-1,1,-1,1,-1,1,1,1,1,1,1,1,1,1,1,0,-1,1,1,-1,-1,1,-1,-1,-1,1,1,1,1,1,-1,1,1,1,1,0,1,1,1,,,,
98,1,0,30,17,12,-1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,0,1,,,,,,,,,,,,,,,,,,,,
100,1,0,14,9,5,-1,,1,,,-1,-1,,,,,1,,,1,,1,1,,1,,1,1,,,,-1,-1,1,,,,,,,,,,,,,,,,,,,,,
102,1,0,30,18,12,1,-1,1,-1,1,-1,1,1,-1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,1,-1,,,,,,,,,,,,,,,,,,,,
103,0,0,30,15,13,-1,1,-1,-1,-1,-1,-1,-1,1,1,-1,0,-1,1,1,-1,1,1,1,1,1,1,1,-1,1,1,-1,-1,1,0,,,,,,,,,,,,,,,,,,,,
104,1,1,39,22,12,-1,1,0,-1,-1,-1,-1,1,0,1,-1,1,1,1,1,1,1,1,-1,1,0,-1,1,0,1,1,-1,-1,1,1,-1,-1,1,1,1,1,1,0,1,,,,,,,,,,,
105,0,0,30,15,11,-1,1,-1,-1,-1,1,1,-1,1,1,0,-1,-1,1,1,1,1,1,1,1,0,-1,1,-1,0,1,-1,-1,1,0,,,,,,,,,,,,,,,,,,,,
107,0,0,22,10,9,-1,1,-1,-1,,-1,1,-1,1,0,-1,,-1,,1,1,1,,,,1,-1,0,0,1,1,-1,,1,,,,,,,,,,,,,,,,,,,,,
109,1,0,30,15,12,0,0,0,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,1,1,1,1,-1,1,1,1,1,-1,-1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
110,0,0,30,14,14,-1,1,-1,-1,1,-1,0,-1,1,1,-1,1,-1,1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,-1,1,-1,,,,,,,,,,,,,,,,,,,,
111,1,0,30,15,13,-1,1,-1,-1,-1,-1,-1,1,-1,-1,-1,1,0,1,1,0,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
114,1,0,11,2,7,-1,,,-1,,-1,-1,,,,0,,,,1,,1,,,,0,,-1,-1,,,-1,,,,,,,,,,,,,,,,,,,,,,,
116,0,0,30,15,11,-1,1,0,-1,-1,-1,1,0,0,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,0,-1,-1,1,-1,-1,1,1,,,,,,,,,,,,,,,,,,,,
117,1,2,32,17,13,0,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,0,-1,-1,-1,1,1,,,,,,,,,,,,,,,,,,
119,1,0,34,17,13,-1,1,0,-1,1,-1,-1,0,-1,0,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,0,,,1,,,,,,,,,,,,,,
120,1,0,32,12,20,-1,1,1,-1,-1,-1,-1,1,-1,1,-1,1,-1,1,1,-1,1,-1,-1,-1,1,1,-1,-1,-1,1,-1,-1,-1,1,-1,-1,,,,,,,,,,,,,,,,,,
121,1,0,32,20,11,-1,1,-1,-1,1,-1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,1,1,0,1,-1,1,1,-1,-1,1,-1,1,-1,,,,,,,,,,,,,,,,,,
122,0,0,19,9,8,-1,1,-1,,-1,,,-1,,,,,0,1,-1,,1,1,,1,0,1,1,,1,1,,-1,,,-1,-1,,,,,,,,,,,,,,,,,,
123,0,0,32,17,14,-1,1,-1,-1,1,-1,-1,-1,1,-1,1,-1,-1,1,1,1,1,1,1,1,1,1,-1,-1,1,1,-1,-1,1,-1,1,0,,,,,,,,,,,,,,,,,,
124,1,0,32,16,7,-1,1,1,-1,0,-1,0,0,0,1,-1,1,1,0,1,1,1,1,1,1,1,1,0,-1,-1,1,-1,0,0,1,1,0,,,,,,,,,,,,,,,,,,
125,0,0,32,14,12,-1,1,-1,-1,-1,-1,1,-1,0,1,0,0,-1,1,1,1,1,1,1,1,0,-1,0,-1,1,1,-1,-1,1,-1,1,0,,,,,,,,,,,,,,,,,,
126,0,0,32,14,16,-1,1,-1,-1,1,-1,1,-1,-1,1,-1,1,1,1,1,-1,1,1,0,1,-1,-1,1,-1,1,1,-1,-1,0,-1,-1,-1,,,,,,,,,,,,,,,,,,
127,0,0,12,6,5,-1,,,,,-1,,,1,-1,,,,1,,,,1,,1,1,,,,0,,,,,-1,,-1,,1,,,,,,,,,,,,,,,,
128,0,0,35,21,12,0,1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,1,-1,0,-1,-1,1,1,-1,-1,1,-1,1,,1,1,1,,1,,,,,,,,,,,,,
129,1,0,32,14,14,-1,1,,-1,1,-1,-1,1,-1,0,-1,1,-1,-1,,1,,1,-1,1,1,1,1,-1,-1,,,-1,0,1,-1,-1,,1,1,0,0,1,,,,,,,,,,,,
132,0,0,21,12,8,-1,1,-1,,,-1,,1,1,-1,,,-1,1,1,-1,,,,1,1,1,,,1,,-1,-1,,,,,,,1,1,1,0,,,,,,,,,,,,
133,0,0,38,16,15,-1,1,-1,-1,-1,1,1,-1,1,0,0,0,-1,0,1,1,1,1,1,1,-1,-1,-1,-1,1,1,-1,-1,0,-1,1,-1,1,1,1,0,0,-1,,,,,,,,,,,,
134,1,0,39,26,12,-1,1,0,-1,1,-1,-1,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,-1,1,1,1,-1,1,1,1,1,1,1,1,,,,,,,,,,,
